address_componentable_id,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3
884,Banten,Tangerang Selatan,Pondok Aren
885,Jawa Timur,Surabaya,Wiyung
886,Banten,Tangerang,Sindang Jaya
887,Distrik Federal,Brasilia,
888,Jawa Barat,Bogor,Bogor Barat
889,Jawa Barat,Bekasi,Bekasi Utara
890,Jawa Barat,Bogor,Sukaraja
891,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Cilincing
892,Daerah Istimewa Yogyakarta,Bantul,Banguntapan
893,Daerah Istimewa Yogyakarta,Bantul,Banguntapan
894,Jawa Barat,Sukabumi,Cisaat
895,Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk
896,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Penjaringan
897,Banten,Tangerang Selatan,Serpong
898,Banten,Tangerang,Pinang
899,Daerah Khusus Ibukota Jakarta,Jakarta Utara,Tanjung Priok
900,Banten,Tangerang Selatan,Setu
901,Banten,Tangerang Selatan,Ciputat Timur
902,Jawa Barat,Depok,Sawangan
906,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Cipayung
907,Jawa Timur,Malang,Kepanjen
911,Jawa Barat,Depok,Tapos
912,Banten,Tangerang Selatan,Serpong
914,Daerah Khusus Ibukota Jakarta,Jakarta Timur,Kramat jati
915,Sumatera Utara,Deli Serdang,Tanjung Morawa
916,Sumatera Utara,Deli Serdang,Tanjung Morawa
917,Sumatera Utara,Deli Serdang,Tanjung Morawa
918,Sumatera Utara,Deli Serdang,Tanjung Morawa
